,file,Quantile,Quantile_Probabilistique,Otsu,2sigma,ksigma,Ajust. 2sigma,Ajust. Quantile,POT
285,Lorentz_Qboard_results/Lorentz_nq5_iahead30_ncl50_thbounds0.parquet,0.9058348018236375,0.9058348018236375,0.9813623561762764,0.9550503214677213,0.9789614411669136,0.9826613632409569,0.8680058587136832,0.8984883755739962
286,Lorentz_Qboard_results/Lorentz_nq50_iahead10_ncl3_thbounds1.parquet,0.9817345817260942,0.9817345817260942,0.9176936560958777,0.9867250695728251,0.9616030437339257,0.9385088666438903,0.9817345817260942,0.9817345817260942
287,Lorentz_Qboard_results/Lorentz_nq20_iahead2_ncl5_thbounds0.parquet,0.822447117571934,0.822447117571934,0.9178868185402371,0.787531433529911,0.8877678344709432,0.8929386740023487,0.822447117571934,0.8149506042787926
288,Lorentz_Qboard_results/Lorentz_nq5_iahead2_ncl5_thbounds1.parquet,0.23012030867807576,0.23012030867807576,0.5873604029476037,0.275462368755206,0.4037271092170572,0.5438699165357348,0.10906257555618325,0.17705100128154774
289,Lorentz_Qboard_results/Lorentz_nq5_iahead15_ncl5_thbounds1.parquet,0.24936590799757763,0.24936590799757763,0.9950463498018322,0.767858324402535,0.9025399012457067,0.9880773240679384,0.28746340672288584,0.14644375533241522
290,Lorentz_Qboard_results/Lorentz_nq10_iahead20_ncl10_thbounds1.parquet,0.9912690362599248,0.9912690362599248,0.8927171390582808,0.9921471643908649,0.970849761229359,0.9202883761645371,0.9912690362599248,0.9801632974700607
291,Lorentz_Qboard_results/Lorentz_nq10_iahead20_ncl20_thbounds1.parquet,0.9912690362599248,0.9912690362599248,0.8927171390582808,0.9921471643908649,0.970849761229359,0.9202883761645371,0.9912690362599248,0.9801632974700607
292,Lorentz_Qboard_results/Lorentz_nq15_iahead10_ncl3_thbounds0.parquet,0.9634112954884105,0.9634112954884105,0.9548184034927538,0.9951193476459592,0.9900594651610011,0.9808136430669193,0.935017425455875,0.9555805482708121
293,Lorentz_Qboard_results/Lorentz_nq15_iahead10_ncl10_thbounds0.parquet,0.9634112954884105,0.9634112954884105,0.9548184034927538,0.9951193476459592,0.9900594651610011,0.9808136430669193,0.935017425455875,0.9555805482708121
294,Lorentz_Qboard_results/Lorentz_nq5_iahead50_ncl20_thbounds0.parquet,0.7678750783333366,0.7678750783333366,0.992813016896788,0.8860935853187502,0.9813466651541818,0.9832995248452127,0.7889879897563156,0.6752318344726983
295,Lorentz_Qboard_results/Lorentz_nq20_iahead20_ncl3_thbounds0.parquet,0.9915221241374167,0.9915221241374167,0.857425135273539,0.9821262187460764,0.9330171633794034,0.8752423244393415,1.0009748014410953,0.9985508570760522
296,Lorentz_Qboard_results/Lorentz_nq50_iahead30_ncl20_thbounds1.parquet,0.9592895020451024,0.9592895020451024,0.877849970451949,0.966853900475543,0.9291692784812312,0.9036867031840831,0.9592895020451024,0.9606560307734962
297,Lorentz_Qboard_results/Lorentz_nq10_iahead30_ncl5_thbounds1.parquet,0.9965970196539945,0.9965970196539945,0.9113803356176162,1.0000000000000002,0.9733269217678026,0.9300965298927882,0.9632900381780322,0.9903948524603609
298,Lorentz_Qboard_results/Lorentz_nq10_iahead15_ncl5_thbounds1.parquet,0.9004015357886263,0.9004015357886263,0.9472262065559606,0.9519469571813378,0.9984505056001288,0.9602904127637781,0.861794163962385,0.7850787805509871
299,Lorentz_Qboard_results/Lorentz_nq8_iahead50_ncl50_thbounds1.parquet,0.8681875424574574,0.8681875424574574,0.9796027752586495,0.9444552407191917,0.9986102163227848,0.9923518418769044,0.8383516166983438,0.8079341889665252
300,Lorentz_Qboard_results/Lorentz_nq30_iahead5_ncl3_thbounds0.parquet,0.9923364603441956,0.9923364603441956,0.9135230790867828,0.9917814168292367,0.9751324394730001,0.9503992717670695,0.9955452260051174,0.9928679281237107
301,Lorentz_Qboard_results/Lorentz_nq8_iahead5_ncl10_thbounds1.parquet,0.6272954514434794,0.6272954514434794,0.8677751136280191,0.6353584707919029,0.808266157230628,0.8536284303152163,0.4835055888786125,0.5519976041378764
302,Lorentz_Qboard_results/Lorentz_nq50_iahead20_ncl10_thbounds0.parquet,0.8929821946090234,0.8929821946090234,0.8235271160076862,0.9099987054591745,0.8731791271877919,0.8422438915957698,0.8923497620004813,0.8942497529769334
303,Lorentz_Qboard_results/Lorentz_nq50_iahead20_ncl10_thbounds1.parquet,0.8929821946090234,0.8929821946090234,0.8235271160076862,0.9099987054591745,0.8731791271877919,0.8422438915957698,0.8923497620004813,0.8942497529769334
304,Lorentz_Qboard_results/Lorentz_nq3_iahead30_ncl5_thbounds1.parquet,0.06313692283287878,0.06313692283287878,0.9791928309337614,0.4639955283321835,0.871670808687667,0.9152312066808795,0.11896952503386442,0.008600048987079991
305,Lorentz_Qboard_results/Lorentz_nq3_iahead20_ncl5_thbounds1.parquet,0.15637737953191794,0.15637737953191794,0.7400006769117252,0.3197230382294463,0.49567616622592003,0.6997733504033564,0.17176126630263425,0.0345459990659709
306,Lorentz_Qboard_results/Lorentz_nq20_iahead2_ncl50_thbounds1.parquet,0.822447117571934,0.822447117571934,0.9178868185402371,0.787531433529911,0.8877678344709432,0.8929386740023487,0.822447117571934,0.8149506042787926
307,Lorentz_Qboard_results/Lorentz_nq50_iahead20_ncl50_thbounds1.parquet,0.8929821946090234,0.8929821946090234,0.8235271160076862,0.9099987054591745,0.8731791271877919,0.8422438915957698,0.8923497620004813,0.8942497529769334
308,Lorentz_Qboard_results/Lorentz_nq30_iahead15_ncl5_thbounds1.parquet,0.9969513882058328,0.9969513882058328,0.869386192606503,1.002997330385635,0.9593993469997834,0.9272990568613144,0.9969513882058328,0.9990041987044085
309,Lorentz_Qboard_results/Lorentz_nq5_iahead30_ncl50_thbounds1.parquet,0.9025808297483601,0.9025808297483601,0.9778370713270995,0.9516195556478564,0.9754447809702449,0.9803185204952379,0.864887777116746,0.8952607935930509
310,Lorentz_Qboard_results/Lorentz_nq30_iahead10_ncl20_thbounds0.parquet,0.9922432230751923,0.9922432230751923,0.8762932449504465,0.9875219274650707,0.9516087339174956,0.9024236170952994,0.9930344982335483,0.9996116752847105
311,Lorentz_Qboard_results/Lorentz_nq5_iahead10_ncl5_thbounds0.parquet,0.6210646357254731,0.6210646357254731,0.9000660475683355,0.6613162541947634,0.7986910952504387,0.8534736161862019,0.6184944281833241,0.3535996519316573
